,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-07-02,264.9814041302562,194.7210106263703,341.1162828822441,264.9814041302562,264.9814041302562,4.311650446163144,4.311650446163144,4.311650446163144,4.311650446163144,4.311650446163144,4.311650446163144,0.0,0.0,0.0,269.2930545764193
1,2020-07-06,271.67681897617734,210.84453259194112,340.7892722399791,271.67681897617734,271.67681897617734,2.6470857360202324,2.6470857360202324,2.6470857360202324,2.6470857360202324,2.6470857360202324,2.6470857360202324,0.0,0.0,0.0,274.3239047121976
2,2020-07-07,273.3506726876576,204.62550324878748,352.68631179519457,273.3506726876576,273.3506726876576,5.945052506916613,5.945052506916613,5.945052506916613,5.945052506916613,5.945052506916613,5.945052506916613,0.0,0.0,0.0,279.29572519457423
3,2020-07-08,275.0245263991379,211.62917936249073,354.32264820680734,275.0245263991379,275.0245263991379,5.138764625640452,5.138764625640452,5.138764625640452,5.138764625640452,5.138764625640452,5.138764625640452,0.0,0.0,0.0,280.1632910247784
4,2020-07-09,276.69838011061825,214.94364254088504,351.17401478241266,276.69838011061825,276.69838011061825,4.311650446166192,4.311650446166192,4.311650446166192,4.311650446166192,4.311650446166192,4.311650446166192,0.0,0.0,0.0,281.01003055678444
5,2020-07-10,278.37223382209856,224.49913216890783,361.0080171621589,278.37223382209856,278.37223382209856,5.694601882305234,5.694601882305234,5.694601882305234,5.694601882305234,5.694601882305234,5.694601882305234,0.0,0.0,0.0,284.0668357044038
6,2020-07-13,283.3937949565394,220.25954402351792,356.93005980546815,283.3937949565394,283.3937949565394,2.647085736033328,2.647085736033328,2.647085736033328,2.647085736033328,2.647085736033328,2.647085736033328,0.0,0.0,0.0,286.0408806925727
7,2020-07-14,285.0676486680197,223.7992979184875,360.40423597423234,285.0676486680197,285.0676486680197,5.945052506911849,5.945052506911849,5.945052506911849,5.945052506911849,5.945052506911849,5.945052506911849,0.0,0.0,0.0,291.0127011749315
8,2020-07-15,286.7415023795,218.6056987815516,364.6453118492399,286.7415023795,286.7415023795,5.1387646256411355,5.1387646256411355,5.1387646256411355,5.1387646256411355,5.1387646256411355,5.1387646256411355,0.0,0.0,0.0,291.88026700514115
9,2020-07-16,288.41535611556816,225.20120794261294,357.85864114856054,288.41535611556816,288.41535611556816,4.3116504461692395,4.3116504461692395,4.3116504461692395,4.3116504461692395,4.3116504461692395,4.3116504461692395,0.0,0.0,0.0,292.7270065617374
10,2020-07-17,290.0892098516364,225.138073018871,363.66469220597196,290.0892098516364,290.0892098516364,5.69460188234613,5.69460188234613,5.69460188234613,5.69460188234613,5.69460188234613,5.69460188234613,0.0,0.0,0.0,295.78381173398253
11,2020-07-20,295.1107710598409,226.8278646074801,369.6884789080575,295.1107710598409,295.1107710598409,2.6470857360320457,2.6470857360320457,2.6470857360320457,2.6470857360320457,2.6470857360320457,2.6470857360320457,0.0,0.0,0.0,297.75785679587295
12,2020-07-21,296.78462479590905,228.8366233407711,372.26603271017046,296.78462479590905,296.78462479590905,5.945052506907089,5.945052506907089,5.945052506907089,5.945052506907089,5.945052506907089,5.945052506907089,0.0,0.0,0.0,302.7296773028161
13,2020-07-22,298.4584785319772,232.7669880105108,372.15366999291456,298.4584785319772,298.4584785319772,5.138764625639689,5.138764625639689,5.138764625639689,5.138764625639689,5.138764625639689,5.138764625639689,0.0,0.0,0.0,303.5972431576169
14,2020-07-23,300.1323322680454,232.00767783560934,376.25402228497353,300.1323322680454,300.1323322680454,4.311650446172219,4.311650446172219,4.311650446172219,4.311650446172219,4.311650446172219,4.311650446172219,0.0,0.0,0.0,304.4439827142176
15,2020-07-24,301.8061860041136,240.6629834964215,384.9492606264215,301.8061860041136,301.8061860041136,5.694601882336698,5.694601882336698,5.694601882336698,5.694601882336698,5.694601882336698,5.694601882336698,0.0,0.0,0.0,307.5007878864503
16,2020-07-27,306.8277472123182,243.5904676602119,380.53244932394944,306.8277472123182,306.8277472123182,2.6470857360595192,2.6470857360595192,2.6470857360595192,2.6470857360595192,2.6470857360595192,2.6470857360595192,0.0,0.0,0.0,309.4748329483777
17,2020-07-28,308.50160091838586,245.7089406194102,382.71986240288913,308.50160091838586,308.50160091838586,5.945052506925622,5.945052506925622,5.945052506925622,5.945052506925622,5.945052506925622,5.945052506925622,0.0,0.0,0.0,314.44665342531147
18,2020-07-29,310.1754546244536,248.17306605802165,390.599614168428,310.1754546244536,310.1754546244536,5.138764625646798,5.138764625646798,5.138764625646798,5.138764625646798,5.138764625646798,5.138764625646798,0.0,0.0,0.0,315.3142192501004
19,2020-07-30,311.84930833052135,239.6582612731546,386.48884235887743,311.84930833052135,311.84930833052135,4.311650446175267,4.311650446175267,4.311650446175267,4.311650446175267,4.311650446175267,4.311650446175267,0.0,0.0,0.0,316.16095877669665
20,2020-07-31,313.52316203658904,245.6993747298176,393.2981335827131,313.52316203658904,313.52316203658904,5.694601882327267,5.694601882327267,5.694601882327267,5.694601882327267,5.694601882327267,5.694601882327267,0.0,0.0,0.0,319.2177639189163
21,2020-08-03,318.5447231547923,254.61676450988796,393.11863261847594,318.5447231547923,318.5447231547923,2.6470857360582376,2.6470857360582376,2.6470857360582376,2.6470857360582376,2.6470857360582376,2.6470857360582376,0.0,0.0,0.0,321.1918088908505
